,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.9169623846699787,0.835509138381201,0.8556149732620321,0.845442536327609,0.974607972306182
KNN,0.9006387508871541,0.798469387755102,0.8368983957219251,0.8172323759791122,0.9446679066883669
Decision Tree,0.9112845990063875,0.8184143222506394,0.8556149732620321,0.8366013071895425,0.8935079697228034
Random Forest,0.9318665720369056,0.8818681318681318,0.8582887700534759,0.8699186991869918,0.9709408664651631
SVM,0.9233498935415189,0.8481675392670157,0.8663101604278075,0.8571428571428571,0.9720594693740474
